GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
968503,0.567714,0.432286,0.0,0.0,0.432286,0.0,0.432286,0.0,0.432286,0.0,0.0,0.432286,0.0,0.194774,0.805226,0.567714,0.0,0.0,0.0,0.0,0.0,0.0,0.127993592,0.066780408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236236,0.22179,0.753726,0.024484,0.050397135,0.703328865,0.12375845,0.579570414,0.072836737,0.630492128,0.0,0.085912324,0.458930524,0.158486016,1.0,0.0,0.02461869,0.19717131,0.0,0.0,0.0,0.027,0.0,0.139,0.834,0.0,0.050397135,0.0,0.0,0.0,0.030843518,0.04199322,0.0,0.0,0.0,0.0,0.0,0.072836737
335222,0.193476,0.780676,0.025849,0.068396586,0.712279414,0.0,0.712279414,0.530536336,0.181743079,0.036903909,0.619999342,0.055375451,0.0,0.076206,0.923794,0.0,0.091707624,0.101768376,0.0,0.025376598,0.0,0.0,0.0,0.050829402,0.0,0.045620523,0.0,0.022776063,0.25546757,0.172970762,0.102098004,0.0,0.05243662,0.0,0.0,0.0,0.478099716
123118,0.956957,0.043043,0.0,0.0,0.043043,0.0,0.043043,0.0,0.043043,0.0,0.0,0.0,0.043043,0.087,0.913,0.065073076,0.891883924,0.0,0.0,0.0,0.0435,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685632,0.284566,0.715434,0.0,0.0,0.715434,0.457412012,0.258021988,0.636960191,0.078473809,0.045279102,0.420978536,0.249176362,0.0,0.442971,0.557029,0.023623246,0.260942754,0.0,0.0,0.0,0.0,0.041333181,0.196135599,0.205502663,0.0,0.0,0.0,0.0,0.559855523,0.077104668,0.0,0.056557606,0.421419869,0.0,0.0,0.0,0.158982716
529211,0.831337,0.096021,0.072643,0.0,0.096021,0.0,0.096021,0.0,0.096021,0.0,0.0,0.096021,0.0,0.482034,0.517966,0.73826716,0.09306984,0.0,0.0,0.0,0.0,0.0,0.198598008,0.283435992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278577,0.729528,0.270472,0.0,0.048811541,0.221660459,0.0,0.221660459,0.163504513,0.058155946,0.221660459,0.0,0.0,0.0,0.170893,0.829107,0.0,0.399619389,0.329908611,0.0,0.0,0.0,0.053517877,0.074292314,0.043082809,0.0,0.0,0.0,0.048811541,0.163504513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163504513
770731,0.64306,0.297025,0.059915,0.0,0.297025,0.0,0.297025,0.0,0.297025,0.069242765,0.114486207,0.056040301,0.057255727,0.865212,0.134788,0.177975215,0.465084785,0.0,0.003460848,0.0,0.05191272,0.0,0.313206744,0.496631688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216169,0.604208,0.373044,0.022749,0.0,0.373044,0.0,0.373044,0.0,0.373044,0.373044,0.0,0.0,0.0,0.321,0.679,0.0,0.333536109,0.270671891,0.0,0.0,0.0321,0.2247,0.0642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805976,0.735843,0.201136,0.063021,0.0,0.201136,0.0,0.201136,0.0,0.201136,0.0,0.201136,0.0,0.0,0.113519,0.886481,0.557040509,0.178802491,0.0,0.0,0.0227038,0.0227038,0.0,0.0454076,0.0227038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723016,0.148241,0.850547,0.001212,0.0,0.850547,0.017969506,0.832577494,0.317667397,0.532879603,0.191278664,0.659268336,0.0,0.0,0.224072,0.775928,0.1185928,0.0296482,0.0,0.0,0.0,0.033420115,0.066840229,0.100260344,0.023551088,0.0,0.0,0.0,0.0,0.125014192,0.167520949,0.025132256,0.0,0.064496647,0.037799561,0.064447091,0.023117609,0.127806488
